CESM-ATM	279.56	264.14	78.65	178.82	114.55
HACC	284.01	302.37	78.38	{}	83.33
RTM	395.29	366.98	102.38	160.11	149.57
SCALE	240.01	249.35	77.01	171.21	109.46
QMCPack	244.35	225.93	74.47	174.88	89.91
NYX	244.22	217.28	70.21	171.47	110.81
JetIn	553.746	544.7	90.83	{}	258.71
Miranda	234.42	275.93	89.48	{}	68.45
SynTruss	345.64	318.82	138.23	{}	115.65
Average	313.4717778	307.2777778	88.84888889	171.298	122.2711111
