CESM-ATM	418.53	372.48	157.76	146.78	133.47
HACC	400.49	365.57	114.81	{}	125.42
RTM	863.79	554.16	239.18	132.61	299.85
SCALE	326.78	304.42	145.22	144.74	136.17
QMCPack	350.62	287.16	129.42	137.91	100.64
NYX	308.81	297.08	119.96	152.83	154.86
JetIn	775.12	573.24	143.24	{}	218.23
Miranda	380.16	376.19	139.55	{}	122.61
SynTruss	565.68	427.22	185.15	{}	173.93
Average	487.7755556	395.28	152.6988889	142.974	162.7977778
